Licence plate,VIN,Make,Model,Type,Capacity,Autonomie,End of Contract,Country,Category,Activated
J186LS,VXKUHZKXZL4332285,Opel,Corsa-e,50kWh Edition 11kW 3 fase 5d,50,,10-09-2024,NL,EV,Found
J719LP,VR3UHZKXZLT073539,PEUGEOT,208,GT EV 50kWh 136 5d ActieAuto,50,,11-09-2024,NL,EV,Not Found
J152KV,VR3UHZKXZLT077916,PEUGEOT,208,Allure EV 50kWh 136 5d,50,,12-09-2024,NL,EV,Found
J207NB,VXKUHZKXZL4332502,Opel,Corsa-e,50kWh Edition 11kW 3 fase 5d,50,,14-09-2024,NL,EV,Found
J388LK,VR3UHZKXZLT088298,PEUGEOT,208,GT EV 50kWh 136 5d,50,,14-09-2024,NL,EV,Found
J531NF,VXKUHZKXZL4320006,Opel,Corsa-e,50kWh Edition 11kW 3 fase 5d,50,,16-09-2024,NL,EV,Found
J871LF,VR3UKZKXZLJ783251,Peugeot,2008,GT EV 50kWh 136 5d,50,,21-09-2024,NL,EV,Found
J184NX,VXKUHZKXZL4324476,Opel,Corsa-e,50kWh Edition 11kW 3 fase 5d,50,,22-09-2024,NL,EV,Found
J032NZ,VR3UKZKXZLJ808605,Peugeot,2008,GT EV 50kWh 136 5d,50,,24-09-2024,NL,EV,Found
J105LZ,VR3UKZKXZLJ783266,Peugeot,2008,GT EV 50kWh 136 5d,50,,25-09-2024,NL,EV,Found
G378FV,W0VF86E01K4127078,Opel,Ampera-e,150kW Business Executive 5d,,,26-09-2024,NL,EV,Not Found
J733PL,VR1UJZKXZLW023694,DS,DS 3 Crossback,E-TENSE 50 kWh Business Auto 5d,50,,30-09-2024,NL,EV,Found
J021VX,VR1UJZKXZLW025584,DS,DS 3 Crossback,E-TENSE 50 kWh Performance Line Auto 5d,50,,01-10-2024,NL,EV,Found
K831JX,VXKUHZKXZM4003774,Opel,Corsa-e,50kWh Edition 11kW 3 fase 5d,50,,01-10-2024,NL,EV,Found
J678SJ,VR3UKZKXZLJ820825,Peugeot,2008,Allure EV 50kWh 136 5d,50,,01-10-2024,NL,EV,Found
J021NV,VR3UKZKXZLJ783214,Peugeot,2008,GT EV 50kWh 136 5d,50,,01-10-2024,NL,EV,Found
J865LF,VR3UKZKXZLJ782214,Peugeot,2008,Allure EV 50kWh 136 5d,50,,01-10-2024,NL,EV,Found
J658NF,VR3UHZKXZLT073555,PEUGEOT,208,GT EV 50kWh 136 5d ActieAuto,50,,01-10-2024,NL,OLD,Found
J293PX,VR1UJZKXZLW021483,DS,DS 3 Crossback,E-TENSE 50 kWh ActieAuto Auto 5d So Chic,50,,02-10-2024,NL,EV,Found
R173SZ,W1N9M0BB8PN025213,Mercedes-Benz,EQB,EQB 250 Business Line auto 5d Onze Deal,70.5,459,24-11-2024,NL,EV,Found
R175SZ,W1N9M0BB4PN020204,Mercedes-Benz,EQB,EQB 250 Business Line auto 5d Onze Deal,70.5,459,24-11-2024,NL,EV,Found
x,W1N2436081N000470,MERCEDES-BENZ,EQB,x,70.5,,20.12.2024 00:00:00,Germany,EV,Found
x,W1N2436121N000479,MERCEDES-BENZ,EQB,x,70.5,,20.12.2024 00:00:00,Germany,EV,Found
G077HS,W0VF86E09K4138149,Opel,Ampera-e,150kW Business Executive 5d,,,02-10-2024,NL,EV,Not Found
J741RG,VR3UHZKXZLT073557,PEUGEOT,208,GT EV 50kWh 136 5d ActieAuto,50,,02-10-2024,NL,OLD,Found
J516RX,VXKUHZKXZL4313298,Opel,Corsa-e,50kWh Launch Edition 5d,50,,06-10-2024,NL,EV,Found
T178BT,W1N9M0BB2PN039298,Mercedes-Benz,EQB,EQB 250 Luxury Line auto 5d,70.5,407,27-05-2024,NL,EV,Found
J982SF,VR3UKZKXZLJ812308,Peugeot,2008,GT EV 50kWh 136 5d,50,,13-10-2024,NL,EV,Found
J601SF,VR3UKZKXZLJ812299,Peugeot,2008,GT EV 50kWh 136 5d,50,,14-10-2024,NL,EV,Not Found
J694SX,VXKUHZKXZL4320073,Opel,Corsa-e,50kWh Edition 11kW 3 fase 5d,50,,15-10-2024,NL,EV,Found
J861SX,VR1UJZKXZLW018508,DS,DS 3 Crossback,E-TENSE 50 kWh Business Auto 5d,50,,16-10-2024,NL,EV,Found
J903RR,VR3UKZKXZLJ814764,Peugeot,2008,Allure EV 50kWh 136 5d,50,,17-10-2024,NL,EV,Found
J593RN,VR3UKZKXZLJ812286,Peugeot,2008,GT EV 50kWh 136 5d,50,,19-10-2024,NL,EV,Found
J978TH,VR3UKZKXZLJ820066,Peugeot,2008,Active EV 50kWh 136 5d,50,,21-10-2024,NL,EV,Not Found
J039TB,VR3UKZKXZLJ834044,Peugeot,2008,GT EV 50kWh 136 5d,50,,21-10-2024,NL,EV,Found
J501TK,VR1UJZKXZLW018492,DS,DS 3 Crossback,E-TENSE 50 kWh Business Auto 5d,50,,22-10-2024,NL,EV,Found
J633TL,VR3UKZKXZLJ818323,Peugeot,2008,Allure EV 50kWh 136 5d,50,,22-10-2024,NL,EV,Found
J684RX,VR3UKZKXZLJ805904,Peugeot,2008,GT EV 50kWh 136 5d,50,,22-10-2024,NL,EV,Found
x,VXKUHZKXZM4302376,OPEL,Corsa-e,x,,,24.10.2024 00:00:00,Germany,EV,Found
J716TT,VR3UKZKXZLJ812294,Peugeot,2008,GT EV 50kWh 136 5d,50,,26-10-2024,NL,EV,Found
J441SV,VR3UHZKXZLT101735,PEUGEOT,208,GT EV 50kWh 136 5d,50,,26-10-2024,NL,EV,Found
J492TK,VR3UKZKXZLJ834143,Peugeot,2008,GT EV 50kWh 136 5d,50,,27-10-2024,NL,EV,Found
J452RT,VR3UKZKXZLJ834113,Peugeot,2008,GT EV 50kWh 136 5d,50,,29-10-2024,NL,EV,Not Found
J874XB,VR3UKZKXZLJ867133,Peugeot,2008,Allure EV 50kWh 136 5d,50,,30-10-2024,NL,EV,Found
J348XD,VR3UKZKXZLJ841744,Peugeot,2008,GT EV 50kWh 136 5d,50,,31-10-2024,NL,EV,Not Found
J818XB,VR3UHZKXZLT115248,PEUGEOT,208,GT EV 50kWh 136 5d,50,,31-10-2024,NL,OLD,Found
G805KH,W0VF86E08K4136831,Opel,Ampera-e,150kW Business Executive 5d,,,01-11-2024,NL,EV,Not Found
J093XX,VXKUHZKXZL4384445,Opel,Corsa-e,100kW Elegance 11kW 3 fase 5d,,,01-11-2024,NL,EV,Found
K760BG,VR3UKZKXZLJ834054,Peugeot,2008,"GT Première EV 50kWh 136 7,4kW 5d",50,,01-11-2024,NL,EV,Found
J072VX,VR3UHZKXZLT077250,PEUGEOT,208,Allure EV 50kWh 136 5d,50,,02-11-2024,NL,EV,Not Found
J230XH,VR3UKZKXZLJ834132,Peugeot,2008,GT EV 50kWh 136 5d,50,,04-11-2024,NL,EV,Found
J924XR,VR3UKZKXZLJ878372,Peugeot,2008,GT EV 50kWh 136 5d,50,,12-11-2024,NL,EV,Found
x,VXKUHZKXZM4290602,OPEL,Corsa-e,x,,,15.11.2024 00:00:00,Germany,EV,Found
J804XK,VXKUHZKXZL4386964,Opel,Corsa-e,100kW Edition 11kW 3 fase 5d,,,16-11-2024,NL,EV,Not Found
J803XK,VXKUHZKXZL4385478,Opel,Corsa-e,50kWh Edition 11kW 3 fase 5d,50,,17-11-2024,NL,EV,Found
J296PF,VXKUHZKXZL4332753,Opel,Corsa-e,100kW Elegance 11kW 3 fase 5d,,,18-11-2024,NL,EV,Found
K261BK,VR3UHZKXZLT115336,PEUGEOT,208,GT EV 50kWh 136 5d,50,,23-11-2024,NL,EV,Found
K785BG,VR3UKZKXZLJ827110,Peugeot,2008,"GT Première EV 50kWh 136 7,4kW 5d",50,,25-11-2024,NL,EV,Found
P745GP,W1K2971231A007545,Mercedes-Benz,EQS,EQS 450+ Luxury Line 5d,,705,12-12-2024,NL,EV,Found
K017GP,VR1UJZKXZLW023939,DS,DS 3 Crossback,E-TENSE 50 kWh Business Auto 5d,50,,01-12-2024,NL,EV,Found
J232VF,VR3UKZKXZLJ843666,Peugeot,2008,Allure EV 50kWh 136 5d,50,,01-12-2024,NL,EV,Found
J741ZV,VR3UKZKXZLJ888491,Peugeot,2008,"GT Première EV 50kWh 136 7,4kW 5d",50,,01-12-2024,NL,EV,Found
S293NB,W1KCG2DB3PA031494,Mercedes-Benz,EQS,EQS 450+ Business Line 5d,,705,14-10-2024,NL,EV,Found
J565VR,VR3UHZKXZLT103027,PEUGEOT,208,GT EV 50kWh 136 5d,50,,01-12-2024,NL,OLD,Found
K641DZ,VR3UHZKXZLT129308,PEUGEOT,208,GT EV 50kWh 136 5d ActieAuto,50,,01-12-2024,NL,OLD,Found
K938BS,VR1UJZKXZLW023520,DS,DS 3 Crossback,E-TENSE 50 kWh ACTI Auto 5d Business 5d,50,,02-12-2024,NL,EV,Found
J799XK,VXKUHZKXZL4331475,Opel,Corsa-e,50kWh Edition 11kW 3 fase 5d,50,,07-12-2024,NL,EV,Found
K397DT,VR3UHZKXZLT084729,PEUGEOT,208,GT EV 50kWh 136 5d,50,,08-12-2024,NL,EV,Found
K594FT,VR3UHZKXZLT129314,PEUGEOT,208,GT EV 50kWh 136 5d ActieAuto,50,,08-12-2024,NL,EV,Found
J-029-HR,W1K2938901F003139,Mercedes-Benz,EQC,400 4MATIC 408pk,,453,12/21/2024,NL,EV,Found
K076BB,VR3UKZKXZLJ834131,Peugeot,2008,GT EV 50kWh 136 5d,50,,09-12-2024,NL,EV,Found
K734GX,VR1UJZKXZLW028986,DS,DS 3 Crossback,E-TENSE 50 kWh Executive Auto 5d,50,,18-12-2024,NL,EV,Found
K883DH,VR3UKZKXZLJ871631,Peugeot,2008,Allure EV 50kWh 136 5d,50,,21-12-2024,NL,EV,Found
K261HJ,VR3UHZKXZLT129309,PEUGEOT,208,GT EV 50kWh 136 5d ActieAuto,50,,21-12-2024,NL,OLD,Found
K258JB,ZFAEFAC41MX008511,Fiat,500e,42kWh Business Launch Edition 3d,42,,22-12-2024,NL,EV,Found
G941ZJ,VF1AG000963196848,Renault,ZOE,R135 Edition One (batterijkoop) 5d,,,24-12-2023,NL,EV,Not Found
J800XK,VXKUHZKXZL4332116,Opel,Corsa-e,50kWh Edition 11kW 3 fase 5d,50,,22-12-2024,NL,EV,Found
H203XL,VF1AG000964802627,RENAULT,ZOE,R135 Intens (batterijkoop) 5d,,,21-08-2024,NL,EV,Found
x,VF1AG000564872836,RENAULT,ZOE,R135,,,02.09.2024 00:00:00,Germany,EV,Found
x,VF1AG000564872772,RENAULT,ZOE,R135,,,02.09.2024 00:00:00,Germany,EV,Found
x,VF1AG000165833302,RENAULT,ZOE,R135,,,02.09.2024 00:00:00,Germany,EV,Found
x,VF1AG000464228275,RENAULT,ZOE,R135,,,02.09.2024 00:00:00,Germany,EV,Found
J593LF,VF1AG000X66043393,RENAULT,ZOE,R135 Intens (batterijkoop) 5d,,,03-09-2024,NL,EV,Found
J602LF,VF1AG000866046602,RENAULT,ZOE,R135 Intens (batterijkoop) 5d,52,,03-09-2024,NL,EV,Not Found
L860XH,VF1AG000966427889,RENAULT,ZOE,R135 Intens (batterijkoop) 5d,,,03-09-2024,NL,EV,Found
x,VF1AG000765851965,RENAULT,ZOE,R135,R135,,03.09.2024 00:00:00,Germany,EV,Found
x,VF1AG000665758094,RENAULT,ZOE,R135,R135,,03.09.2024 00:00:00,Germany,EV,Found
x,VF1AG000565576743,RENAULT,ZOE,R135,R135,,03.09.2024 00:00:00,Germany,EV,Found
x,VF1AG000466005903,RENAULT,ZOE,R135,R135,,06.09.2024 00:00:00,Germany,EV,Found
x,VF1AG000766005863,RENAULT,ZOE,R135,R135,,06.09.2024 00:00:00,Germany,EV,Found
x,VF1AG000665906390,RENAULT,ZOE,R135,R135,,06.09.2024 00:00:00,Germany,EV,Found
x,VF1AG000065981036,RENAULT,ZOE,R135,R135,,06.09.2024 00:00:00,Germany,EV,Found
x,VF1AG000965981021,RENAULT,ZOE,R135,R135,,06.09.2024 00:00:00,Germany,EV,Found
x,VF1AG000465704258,RENAULT,ZOE,R135,R135,,01.10.2024 00:00:00,Germany,EV,Found
x,VF1AG000166152485,RENAULT,ZOE,R135,R135,,01.10.2024 00:00:00,Germany,EV,Found
x,VF1AG000466212839,RENAULT,ZOE,R135,R135,,01.10.2024 00:00:00,Germany,EV,Found
x,VF1AG000X66090679,RENAULT,ZOE,R135,R135,,01.10.2024 00:00:00,Germany,EV,Found
x,LRW3E7EC4MC342854,TESLA,Model 3,x,,,07.09.2024 00:00:00,Germany,EV,Not Found
x,5YJ3E7EB1LF765211,TESLA,Model 3,x,,,09.09.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EK2MC323906,TESLA,Model 3,x,,,12.09.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EK5MC322507,TESLA,Model 3,x,,,12.09.2024 00:00:00,Germany,EV,Not Found
x,5YJ3E7EB0LF758055,TESLA,Model 3,x,,,17.09.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EK4MC345308,TESLA,Model 3,x,,,19.09.2024 00:00:00,Germany,EV,Not Found
x,LRWYGCEK2MC065136,TESLA,Model Y,x,,,19.09.2024 00:00:00,Germany,EV,Not Found
x,5YJ3E7EB4LF780334,TESLA,Model 3,x,,,22.09.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EKXMC345717,TESLA,Model 3,x,,,22.09.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EK5MC343311,TESLA,Model 3,x,,,22.09.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7FA7MC336415,TESLA,Model 3,x,,,23.09.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EK4MC324023,TESLA,Model 3,x,,,26.09.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7FJ1MC332828,TESLA,Model 3,x,,,27.09.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EK5MC339372,TESLA,Model 3,x,,,27.09.2024 00:00:00,Germany,EV,Not Found
x,5YJ3E7EB6LF674127,TESLA,Model 3,x,,,28.09.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7FJXMC332939,TESLA,Model 3,x,,,30.09.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EK8MC346834,TESLA,Model 3,x,,,03.10.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EK6MC345472,TESLA,Model 3,x,,,06.10.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EK9MC343229,TESLA,Model 3,x,,,19.10.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7FA0MC351306,TESLA,Model 3,x,,,28.10.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EKXMC347189,TESLA,Model 3,x,,,01.11.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7FA0MC350835,TESLA,Model 3,x,,,02.11.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EK7MC383602,TESLA,Model 3,x,,,04.11.2024 00:00:00,Germany,EV,Not Found
x,5YJ3E7EB4MF833700,TESLA,Model 3,x,,,12.11.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EK0MC400028,TESLA,Model 3,x,,,15.11.2024 00:00:00,Germany,EV,Not Found
x,5YJ3E7EB8MF819119,TESLA,Model 3,x,,,18.11.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EK5MC401112,TESLA,Model 3,x,,,18.11.2024 00:00:00,Germany,EV,Not Found
x,5YJ3E7EB9MF817086,TESLA,Model 3,x,,,19.11.2024 00:00:00,Germany,EV,Not Found
x,5YJ3E7EB5MF818526,TESLA,Model 3,x,,,19.11.2024 00:00:00,Germany,EV,Not Found
x,5YJ3E7EBXMF817341,TESLA,Model 3,x,,,24.11.2024 00:00:00,Germany,EV,Not Found
x,5YJ3E7EB4MF826343,TESLA,Model 3,x,,,24.11.2024 00:00:00,Germany,EV,Not Found
x,5YJ3E7EB9MF817265,TESLA,Model 3,x,,,26.11.2024 00:00:00,Germany,EV,Not Found
x,5YJSA7E2XKF304823,TESLA,Model S,x,,,26.11.2024 00:00:00,Germany,EV,Not Found
x,LRWYGCEK4MC129970,TESLA,Model Y,x,,,29.11.2024 00:00:00,Germany,EV,Not Found
x,5YJ3E7EC2MF843571,TESLA,Model 3,x,,,30.11.2024 00:00:00,Germany,EV,Not Found
x,5YJ3E7EB9MF815533,TESLA,Model 3,x,,,02.12.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EK4MC384478,TESLA,Model 3,x,,,02.12.2024 00:00:00,Germany,EV,Not Found
x,5YJSA7E47MF419819,TESLA,Model S,x,,,03.12.2024 00:00:00,Germany,EV,Not Found
x,5YJ3E7EB0MF820099,TESLA,Model 3,x,,,06.12.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EK6MC385177,TESLA,Model 3,x,,,08.12.2024 00:00:00,Germany,EV,Not Found
x,5YJ3E7EBXMF837489,TESLA,Model 3,x,,,09.12.2024 00:00:00,Germany,EV,Not Found
x,5YJ3E7EB4MF834541,TESLA,Model 3,x,,,09.12.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EB9MC424487,TESLA,Model 3,x,,,09.12.2024 00:00:00,Germany,EV,Not Found
x,5YJ3E7EC8MF830016,TESLA,Model 3,x,,,09.12.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EC2MC428003,TESLA,Model 3,x,,,13.12.2024 00:00:00,Germany,EV,Not Found
x,5YJ3E7EB6MF831754,TESLA,Model 3,x,,,14.12.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EC1MC426811,TESLA,Model 3,x,,,14.12.2024 00:00:00,Germany,EV,Not Found
x,XP7YGCELXPB052250,TESLA,Model Y,x,,,14.12.2024 00:00:00,Germany,EV,Not Found
x,5YJ3E7EB3MF818797,TESLA,Model 3,x,,,15.12.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7FA6MC426526,TESLA,Model 3,x,,,15.12.2024 00:00:00,Germany,EV,Not Found
x,5YJ3E7ECXMF829854,TESLA,Model 3,x,,,17.12.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EB8MC424478,TESLA,Model 3,x,,,19.12.2024 00:00:00,Germany,EV,Not Found
x,5YJ3E7EC8MF830078,TESLA,Model 3,x,,,20.12.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EK8MC385441,TESLA,Model 3,x,,,21.12.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EB3MC434867,TESLA,Model 3,x,,,21.12.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EB2MC419681,TESLA,Model 3,x,,,22.12.2024 00:00:00,Germany,EV,Not Found
x,LRW3E7EC8MC425459,TESLA,Model 3,x,,,22.12.2024 00:00:00,Germany,EV,Not Found
x,5YJ3E7EBXMF837136,TESLA,Model 3,x,,,27.12.2024 00:00:00,Germany,EV,Not Found
G248SL,5YJ3E7EB3LF589505,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,17-08-2024,NL,EV,Not Found
G247SL,5YJ3E7EB4LF564533,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,17-06-2024,NL,EV,Not Found
G759VZ,5YJ3E7EB1LF593424,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,29-12-2024,NL,EV,Not Found
G948ZL,5YJ3E7EB1LF564733,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,28-12-2024,NL,EV,Not Found
G794XB,5YJ3E7EB2LF593500,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,29-12-2024,NL,EV,Not Found
G819XB,5YJ3E7EB1LF607791,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,24-12-2024,NL,EV,Not Found
G185XJ,5YJ3E7EB1LF593469,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,30-12-2024,NL,EV,Not Found
G424SK,5YJ3E7EB3LF566676,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,18-12-2024,NL,EV,Not Found
G186XJ,5YJ3E7EB6LF569572,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,29-12-2024,NL,EV,Not Found
G863XJ,5YJ3E7EB3LF565737,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,28-12-2024,NL,EV,Not Found
G966XB,5YJ3E7EB1LF567177,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,29-12-2024,NL,EV,Not Found
G724XB,5YJ3E7EB5LF605817,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,28-12-2023,NL,EV,Not Found
G162XJ,5YJ3E7EB5LF570163,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,23-06-2024,NL,EV,Not Found
G020XK,5YJ3E7EB5LF567151,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,28-12-2024,NL,EV,Not Found
G326SK,5YJ3E7EB8LF564552,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,16-12-2024,NL,EV,Not Found
G341XJ,5YJ3E7EB3LF629534,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,29-12-2024,NL,EV,Not Found
G307SK,5YJ3E7EB3LF589519,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,17-11-2024,NL,EV,Not Found
G258SL,5YJ3E7EB7LF589409,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,18-12-2024,NL,EV,Not Found
G765VZ,5YJ3E7EB4LF570123,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,30-12-2024,NL,EV,Not Found
G766VZ,5YJ3E7EBXLF570059,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,29-12-2024,NL,EV,Not Found
G239SL,5YJ3E7EBXLF564438,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,13-12-2024,NL,EV,Not Found
G057XK,5YJ3E7EB7LF567197,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,28-12-2024,NL,EV,Not Found
G262XJ,5YJ3E7EB5LF604862,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,30-12-2024,NL,EV,Not Found
G242SL,5YJ3E7EB0LF589431,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,16-12-2024,NL,EV,Not Found
G783XB,5YJ3E7EB1LF567146,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,28-12-2024,NL,EV,Not Found
G229ZP,5YJ3E7EB7LF604927,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,28-12-2024,NL,EV,Not Found
G438XX,5YJ3E7EBXLF607790,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,27-12-2024,NL,EV,Not Found
G289SK,5YJ3E7EB8LF589516,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,13-12-2024,NL,EV,Not Found
G321SK,5YJ3E7EB1LF589406,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,16-12-2024,NL,EV,Not Found
G769VZ,5YJ3E7EB6LF593175,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,30-12-2024,NL,EV,Not Found
G789XB,5YJ3E7EB2LF561338,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,29-12-2024,NL,EV,Not Found
G846XJ,5YJ3E7EB7LF565868,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,30-12-2024,NL,EV,Not Found
G305NT,5YJ3E7EB2KF467166,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,11-11-2024,NL,EV,Not Found
G296SK,5YJ3E7EB6LF564551,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,17-12-2024,NL,EV,Not Found
G800XB,5YJ3E7EB3LF567147,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,29-12-2024,NL,EV,Not Found
G047XK,5YJ3E7EBXLF567176,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,28-12-2023,NL,EV,Not Found
G470XK,5YJ3E7EB7LF593668,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,27-12-2024,NL,EV,Not Found
G498XK,5YJ3E7EB1LF593665,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,27-08-2024,NL,EV,Not Found
G316SK,5YJ3E7EB4LF589433,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,16-12-2024,NL,EV,Not Found
G155XJ,5YJ3E7EB9LF567136,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,29-12-2024,NL,EV,Not Found
G029XK,5YJ3E7EBXLF567145,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,29-12-2024,NL,EV,Not Found
G875VZ,5YJ3E7EB4LF593689,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,31-12-2024,NL,EV,Not Found
G272XJ,5YJ3E7EBXLF567162,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,28-12-2024,NL,EV,Not Found
G260SL,5YJ3E7EB0LF589428,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,16-12-2024,NL,EV,Not Found
G823ZN,5YJ3E7EB0LF604820,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,29-12-2024,NL,EV,Not Found
G871VZ,5YJ3E7EB4LF593658,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,23-12-2023,NL,EV,Not Found
G761XJ,5YJ3E7EB6LF564954,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,30-12-2024,NL,EV,Not Found
G106VF,5YJ3E7EBXLF561944,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,16-12-2024,NL,EV,Not Found
G866VZ,5YJ3E7EB4LF604870,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,30-12-2024,NL,EV,Not Found
G389SK,5YJ3E7EB8LF566611,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,16-12-2024,NL,EV,Not Found
G313XJ,5YJ3E7EB3LF629498,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,29-12-2024,NL,EV,Not Found
G983XJ,5YJ3E7EB6LF565828,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,30-12-2024,NL,EV,Not Found
G027XK,5YJ3E7EB0LF567140,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,28-12-2024,NL,EV,Not Found
G513RT,5YJ3E7EB1LF562996,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,18-12-2024,NL,EV,Not Found
G039XK,5YJ3E7EB9LF567167,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,20-01-2024,NL,EV,Not Found
G482NV,5YJ3E7EB8KF472632,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,12-11-2024,NL,EV,Not Found
G434PJ,5YJ3E7EB9LF561658,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,20-11-2024,NL,EV,Not Found
G103VF,5YJ3E7EB9LF589556,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,18-12-2024,NL,EV,Not Found
G114RT,5YJ3E7EB8LF565488,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,09-12-2024,NL,EV,Not Found
G333ZJ,5YJ3E7EB6LF610637,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,28-12-2023,NL,EV,Not Found
G262TV,5YJ3E7EB5LF566601,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,23-12-2024,NL,EV,Not Found
G347VD,5YJ3E7EB3LF589374,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,16-12-2024,NL,EV,Not Found
G344VD,5YJ3E7EB1LF564506,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,18-12-2024,NL,EV,Not Found
G950SJ,5YJ3E7EB9LF563183,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,09-12-2024,NL,EV,Not Found
G272VF,5YJ3E7EB1LF589468,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,18-12-2024,NL,EV,Not Found
G022ZG,5YJ3E7EB6LF609861,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,28-12-2024,NL,EV,Not Found
G070VF,5YJ3E7EB1LF560441,TESLA,Model 3,Long Range Dual Motor AWD 4d,,,20-12-2024,NL,EV,Not Found
