Licence plate,VIN,Make,Model,Type,Capacity,Autonomie,End of Contract,Country,Category,Activated
ZF762L,W0VF86E09K4128155,Opel,Ampera-e,150kW Business+ 5d,,,10-05-2024,NL,EV,Not Found
ZF800F,W0VF86E09K4126972,Opel,Ampera-e,150kW Business+ 5d,,,13-05-2024,NL,EV,Not Found
ZD117G,W0VF86E03K4123257,Opel,Ampera-e,150kW Business+ 5d,,,17-05-2024,NL,EV,Not Found
ZG314G,W0VF86E07K4113377,Opel,Ampera-e,150kW ActieAuto+ 5d Business+,,,24-05-2024,NL,EV,Not Found
G844PK,WBY8P210507F21376,BMW,i3,i3 (120Ah) 5d,,,09-11-2024,NL,EV,Found
K807GK,VR3UKZKXZLJ934632,Peugeot,2008,GT EV 50kWh 136 5d,50,,16-06-2024,NL,EV,Found
J931NJ,VR3UHZKXZLT088238,PEUGEOT,208,GT EV 50kWh 136 5d,50,,19-06-2024,NL,EV,Found
P120XD,VXKUHZKXZN4269149,Opel,Corsa-e,50kWh GS Line 11kW 3 fase 5d APL,50,,24-06-2024,NL,EV,Found
J972PG,VR1UJZKXZLW021491,DS,DS 3 Crossback,E-TENSE 50 kWh Performance Line+ Auto 5d,50,,01-07-2024,NL,EV,Found
J059LD,VXKUHZKXZL4320106,Opel,Corsa-e,100kW Edition 5d,,,01-07-2024,NL,EV,Not Found
J198JZ,VR3UHZKXZLT072875,PEUGEOT,208,GT EV 50kWh 136 5d,50,,01-07-2024,NL,EV,Not Found
G-643-RH,WBY8P210707D68113,BMW,i3,i3 (120Ah),,,11/14/2024,NL,EV,Found
K324PP,VXKUHZKXZM4023375,Opel,Corsa-e,50kWh Edition 11kW 3 fase 5d,50,,03-07-2024,NL,EV,Found
x,WF0TK3SU4MMA37317,FORD,Mustang Mach-E,x,,,21.12.2024 00:00:00,Germany,EV,Not Found
x,WF0TK1E79MMA47996,FORD,Mustang Mach-E,x,,,21.12.2024 00:00:00,Germany,EV,Not Found
x,WF0TK1E74MMA60901,FORD,Mustang Mach-E,x,,,21.12.2024 00:00:00,Germany,EV,Not Found
x,WF0TK3SSXMMA51687,FORD,Mustang Mach-E,x,,,21.12.2024 00:00:00,Germany,EV,Not Found
x,WF0TK3SS9MMA50420,FORD,Mustang Mach-E,x,,,21.12.2024 00:00:00,Germany,EV,Not Found
x,WF0TK1E73MMA53339,FORD,Mustang Mach-E,x,,,22.12.2024 00:00:00,Germany,EV,Not Found
x,WF0TK3SU8MMA46439,FORD,Mustang Mach-E,x,,,24.12.2024 00:00:00,Germany,EV,Not Found
x,WF0TK3SS8MMA46651,FORD,Mustang Mach-E,x,,,26.12.2024 00:00:00,Germany,EV,Not Found
x,WF0TK3SS6MMA46678,FORD,Mustang Mach-E,x,,,27.12.2024 00:00:00,Germany,EV,Not Found
x,WF0TK3SU6MMA05064,FORD,Mustang Mach-E,x,,,27.12.2024 00:00:00,Germany,EV,Not Found
x,WF0TK3SU0MMA50971,FORD,Mustang Mach-E,x,,,28.12.2024 00:00:00,Germany,EV,Not Found
N-160-VL,WF0TK3SU2MMA49840,FORD,Mustang Mach-E,98kWh Extended Range AWD auto,98,,9/29/2024,NL,EV,Not Found
N-477-TJ,WF0TK3SS8MMA44981,FORD,Mustang Mach-E,75kWh AWD auto,75,,9/30/2024,NL,EV,Not Found
N-483-TJ,WF0TK3SSXMMA44805,FORD,Mustang Mach-E,75kWh AWD auto,75,,9/30/2024,NL,EV,Not Found
N-488-TJ,WF0TK3SU2MMA40765,FORD,Mustang Mach-E,98kWh Extended Range AWD auto,98,,9/30/2024,NL,EV,Not Found
N-163-VL,WF0TK3SU6MMA52756,FORD,Mustang Mach-E,98kWh Extended Range AWD auto,98,,10/18/2024,NL,EV,Not Found
L-982-FD,WF0TK1E73MMA04075,FORD,Mustang Mach-E,98kWh Extended Range RWD auto,98,,10/29/2024,NL,EV,Not Found
N-191-NJ,WF0TK3SU6MMA37237,FORD,Mustang Mach-E,98kWh Extended Range AWD auto,98,,11/28/2024,NL,EV,Not Found
N-640-TP,WF0TK1E7XMMA51913,FORD,Mustang Mach-E,98kWh Extended Range RWD auto,98,,12/28/2024,NL,EV,Not Found
L619FN,WF0TK1EM2MMA16563,FORD,Mustang Mach-E,75kWh RWD auto 5d,75,,07-11-2024,NL,EV,Not Found
L823RJ,WF0TK1E74MMA25999,FORD,Mustang Mach-E,98kWh Extended Range RWD auto 5d,98,,15-10-2024,NL,EV,Not Found
L842PD,WF0TK1E79MMA16196,FORD,Mustang Mach-E,98kWh Extended Range RWD auto 5d,98,,03-07-2024,NL,EV,Not Found
N653GX,WF0TK1EM2MMA16501,FORD,Mustang Mach-E,75kWh RWD auto 5d,75,,15-10-2024,NL,EV,Not Found
N028KV,WF0TK1EM4MMA38533,FORD,Mustang Mach-E,75kWh RWD 5d Tech.Pack Onze Deal,75,,11-11-2024,NL,EV,Not Found
N162SG,WF0TK3SS2MMA30462,FORD,Mustang Mach-E,75kWh AWD auto 5d Tech Pack Plus Onze Deal,75,,22-12-2024,NL,EV,Not Found
N746SV,WF0TK1E77MMA56339,FORD,Mustang Mach-E,98kWh Extended Range RWD 5d Tech.Pack Onze Deal,98,,28-04-2024,NL,EV,Not Found
N987TD,WF0TK1EM5MMA31333,FORD,Mustang Mach-E,75kWh RWD 5d Onze Deal,75,,04-05-2024,NL,EV,Not Found
R516XP,WF0TK1E79MMA11256,FORD,Mustang Mach-E,98kWh Extended Range RWD auto 5d,98,,16-12-2024,NL,EV,Not Found
P784RS,WF0TK1E79MMA62370,FORD,Mustang Mach-E,98kWh Extended Range RWD 5d Tech.Pack Onze Deal,98,,07-07-2024,NL,EV,Not Found
N143HT,WF0TK1EM6MMA38274,FORD,Mustang Mach-E,75kWh RWD auto 5d,75,,22-07-2024,NL,EV,Not Found
