VIN,Licence plate, ,Model,Type,Capacity,Autonomie,End of Contract,Country,Category,Activated,Ownership ,Fleet,Start Date
KNACC81GFM5078733,L-046-RB,KIA,e-Niro,64kWh DynamicPlusLine,64,,7/28/2024,NL,EV,activated,Ayvens,1,7/29/2021
KNACC81GFM5097095,L-559-SF,KIA,e-Niro,64kWh ExecutiveLine,64,,7/29/2024,NL,EV,activated,Ayvens,1,7/30/2021
KNAC381AFN5064184,R258BR,KIA,EV6,77.4kWh Plus RWD 5d Onze Deal,77.4,,02-08-2024,NL,EV,activated,Ayvens,1,7/26/2022
KNAC381AFN5064335,R368DH,KIA,EV6,77.4kWh Plus RWD 5d Onze Deal,77.4,,02-08-2024,NL,EV,deactivated,Ayvens,1,7/29/2022
KNAC381AFN5064337,R095DN,KIA,EV6,77.4kWh Plus RWD 5d Onze Deal,77.4,,02-08-2024,NL,EV,activated,Ayvens,1,7/29/2022
WBY8P210607F13531,G248PP,BMW,i3,i3 (120Ah) 5d,0,,15-11-2024,NL,EV,deactivated,Ayvens,1,11/15/2019
WBY8P210X07F26170,G-715-RR,BMW,i3,i3 (120Ah),,,11/18/2024,NL,EV,deactivated,Ayvens,1,11/19/2019
WBY8P210307F27905,G-417-SF,BMW,i3,i3 (120Ah),,,11/21/2024,NL,EV,deactivated,Ayvens,1,11/22/2019
W0VF86E06K4119185,ZP387T,Opel,Ampera-e,150kW Business+ 5d,50,,10-07-2024,NL,EV,never activated,Ayvens,1,7/10/2019
VR1UJZKXZLW025472,K907KT,DS,DS 3 Crossback,E-TENSE 50 kWh ACTI Auto 5d Business 5d,50,,13-07-2024,NL,EV,deactivated,SOLD,1,12/31/2020
WBY8P210707F25526,G011RZ,BMW,i3,i3 (120Ah) 5d,,,22-11-2024,NL,EV,deactivated,Ayvens,1,11/22/2019
W0VF86E08K4118653,ZP388T,Opel,Ampera-e,150kW Business+ 5d,50,,15-07-2024,NL,EV,never activated,SOLD,1,7/15/2019
WBY8P210807F02241,G-448-NG,BMW,i3,i3 (120Ah) Executive Edition,,,11/29/2024,NL,EV,deactivated,Ayvens,1,11/30/2019
KNACC81GFM5091680,L-569-VT,KIA,e-Niro,64kWh ExecutiveLine,64,,8/12/2024,NL,EV,activated,Ayvens,1,8/13/2021
W0VF86E03J4136475,XB078R,Opel,Ampera-e,150kW Business+ 5d,50,,30-07-2024,NL,EV,never activated,SOLD,1,12/5/2018
KNACC81GFM5109736,L-235-XJ,KIA,e-Niro,64kWh DynamicPlusLine,64,,8/17/2024,NL,EV,activated,Ayvens,1,8/18/2021
VR3UHZKXZLT073946,J491GR,PEUGEOT,208,Allure EV 50kWh 136 5d,50,,31-07-2024,NL,EV,never activated,SOLD,1,7/31/2020
