field_name,field_type
charging.battery_level.data,double
charging.estimated_range.data.value,int
charging.plugged_in.data,bool
charging.status.data,string
charging.time_to_complete_charge.data.value,int
diagnostics.distance_since_reset.data.value,double
diagnostics.estimated_range.data.value,double
diagnostics.odometer.data.value,double
usage.average_speed.data.value,double
usage.electric_consumption_average.data.value,double
